dzien_czas,id_farmy,zrodlo,moc_DC,moc_AC,wydajnosc,wydajnosc_sum
2020-06-10 00:00:00,2,a,0.0,0.0,8098.0,2618699.0
2020-06-10 00:00:00,2,b,0.0,0.0,0.0,1215441255.0
2020-06-10 00:00:00,2,c,0.0,0.0,1521.2,2247877986.0
2020-06-10 00:00:00,2,d,0.0,0.0,3898.0,1825871.0
2020-06-10 00:00:00,2,e,0.0,0.0,8151.0,20143955.0
2020-06-10 00:00:00,2,f,0.0,0.0,3308.0,1795076952.0
2020-06-10 00:00:00,2,g,0.0,0.0,3463.0,282749084.0
2020-06-10 00:00:00,2,h,0.0,0.0,8042.0,2650151.0
2020-06-10 00:00:00,2,i,0.0,0.0,8067.0,111708275.0
2020-06-10 00:00:00,2,j,0.0,0.0,6456.0,1348510408.0
2020-06-10 00:00:00,2,k,0.0,0.0,8086.0,838615309.0
2020-06-10 00:00:00,2,l,0.0,0.0,3796.0,329618462.0
2020-06-10 00:00:00,2,m,0.0,0.0,0.0,1412259419.0
2020-06-10 00:00:00,2,n,0.0,0.0,4027.0,181869271.0
2020-06-10 00:00:00,2,o,0.0,0.0,1148.571428571429,593775723.0
2020-06-10 00:00:00,2,p,0.0,0.0,8094.0,1660155118.0
2020-06-10 00:00:00,2,q,0.0,0.0,0.0,1708251021.0
2020-06-10 00:00:00,2,r,0.0,0.0,3601.0,477638.0
2020-06-10 00:00:00,2,s,0.0,0.0,3378.0,121094686.0
2020-06-10 00:00:00,2,t,0.0,0.0,7868.0,2383551.0
2020-06-10 00:00:00,2,u,0.0,0.0,7997.0,106855767.0
2020-06-10 00:00:00,2,w,0.0,0.0,6993.0,209292803.0
2020-06-10 00:15:00,2,a,0.0,0.0,8098.0,2618699.0
2020-06-10 00:15:00,2,b,0.0,0.0,0.0,1215441255.0
2020-06-10 00:15:00,2,c,0.0,0.0,0.0,2247877986.0
2020-06-10 00:15:00,2,d,0.0,0.0,3898.0,1825871.0
2020-06-10 00:15:00,2,e,0.0,0.0,8151.0,20143955.0
2020-06-10 00:15:00,2,f,0.0,0.0,3308.0,1795076952.0
2020-06-10 00:15:00,2,g,0.0,0.0,3463.0,282749084.0
2020-06-10 00:15:00,2,h,0.0,0.0,8042.0,2650151.0
2020-06-10 00:15:00,2,i,0.0,0.0,8067.0,111708275.0
2020-06-10 00:15:00,2,j,0.0,0.0,6456.0,1348510408.0
2020-06-10 00:15:00,2,k,0.0,0.0,8086.0,838615309.0
2020-06-10 00:15:00,2,l,0.0,0.0,3796.0,329618462.0
2020-06-10 00:15:00,2,m,0.0,0.0,0.0,1412259419.0
2020-06-10 00:15:00,2,n,0.0,0.0,4027.0,181869271.0
2020-06-10 00:15:00,2,o,0.0,0.0,0.0,593775723.0
2020-06-10 00:15:00,2,p,0.0,0.0,8094.0,1660155118.0
2020-06-10 00:15:00,2,q,0.0,0.0,0.0,1708251021.0
2020-06-10 00:15:00,2,r,0.0,0.0,3601.0,477638.0
2020-06-10 00:15:00,2,s,0.0,0.0,3378.0,121094686.0
